,,,,,Prämien – Grundversicherung,,,,,,,
,,,,,Primes – Assurance de base,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
602.4,590.9,561.9,532.4,503.4,474.4,"Philos, PrimaCare",560.3,549.6,522.6,495.2,468.2,441.2
588.4,576.7,547.6,518.4,489.2,460.1,"Sana24, Med Direct",549.9,539,511.8,484.5,457.3,430
597.7,586.1,556.9,527.7,498.6,469.4,"Sanitas, CareMed",556.5,545.7,518.5,491.3,464.2,437.1
559.1,547.5,518.3,489.1,460,430.8,"Sanitas, NetMed 1",520.6,509.8,482.6,455.4,428.3,401.1
588,576.4,547.2,518,488.9,459.7,"Sanitas, NetMed 2",547.5,536.7,509.5,482.3,455.2,428
597.7,586.1,556.9,527.7,498.6,469.4,"Sanitas, NetMed 3",556.5,545.7,518.5,491.3,464.2,437.1
556.4,544.9,515.9,486.4,457.4,428.4,"Supra, PrimaCare",517.5,506.8,479.8,452.4,425.4,398.5
602.5,590.9,568.6,539.4,510.3,481.1,"Swica, FAVORIT CASA",560.4,549.5,528.8,501.7,474.6,447.4
602.5,590.9,568.6,539.4,510.3,481.1,"Swica, FAVORIT MEDICA",560.4,549.5,528.8,501.7,474.6,447.4
543.7,532,509.8,480.6,444.5,415.3,"Swica, FAVORIT MEDPHARM",505.6,494.8,474.1,446.9,413.4,386.3
571.4,570.1,551.3,522.1,486,456.9,"Swica, FAVORIT MULTICHOICE",531.4,530.2,512.7,485.6,452,424.9
598.6,592,557.8,528.6,499.5,470.3,"Visana, Med Direct",559.5,553.3,521.3,494.1,466.8,439.6
631.9,620.2,591.1,561.9,532.7,503.6,"Vivacare, Med Direct",590.6,579.7,552.4,525.2,497.9,470.6
548.3,536.6,507.5,478.3,449.1,420,"Vivao Sympany, callmed 24",510,499.1,472,444.9,417.7,390.6
554.4,542.8,513.6,484.4,455.3,426.1,"Vivao Sympany, casamed hausarzt",515.6,504.9,477.7,450.5,423.5,396.3
536,524.3,495.1,466,436.8,407.6,"Vivao Sympany, casamed pharm",498.5,487.6,460.5,433.4,406.3,379.1
"Bundesamt für Gesundheit, 3003 Bern",,,,,,,,September 2023,,,,
"Office fédéral de la santé publique, 3003 Berne",,,,,,5/28,,Septembre 2023,,review-2023-09-24,,
,,,,,Prämien – Hausarztmodell,,,,,,,
,,,,,Primes – Médecin de famille,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
300,500,1000,1500,2000,2500,Region / Région 2,300,500,1000,1500,2000,2500
512.7,501.1,471.9,442.7,413.6,384.4,"Assura, Hausarzt Modell",476.9,466.1,438.9,411.8,384.7,357.5
502,490.4,461.2,432,402.9,373.7,"Assura, PharMed",466.9,456.1,429,401.8,374.7,347.6
535.8,524.2,495,465.8,436.7,407.5,"Assura, PreventoMed",498.3,487.6,460.4,433.2,406.2,379
493.5,481.9,452.7,423.5,394.4,365.2,"Assura, Qualimed",459,448.2,421.1,393.9,366.8,339.7
524.4,512.9,483.9,454.4,425.4,396.4,"Avenir, PrimaCare",487.7,477,450.1,422.6,395.7,368.7
515,503.4,474.2,445,415.9,386.7,"Concordia, MyDoc",486.7,475.8,448.2,420.6,393.1,365.5
501.5,489.9,460.7,431.5,402.4,373.2,"CSS, Gesundheitspraxisversicherung T1",466.4,455.6,428.4,401.3,374.2,347.1
507.5,495.9,466.7,437.5,408.4,379.2,"CSS, Gesundheitspraxisversicherung T2",471.9,461.1,434,406.8,379.8,352.6
513.4,501.8,472.6,443.4,414.3,385.1,"CSS, Gesundheitspraxisversicherung T3",477.5,466.7,439.5,412.4,385.3,358.2
519.4,507.8,478.6,449.4,420.3,391.1,"CSS, Hausarztversicherung Profit",483,472.2,445.1,417.9,390.9,363.7
499.7,488.1,463.9,434.7,405.6,390.7,"CSS, Multimed",464.7,453.9,431.4,404.3,377.2,363.3
537,525.5,496.5,467,438,409,"Easy Sana, PrimaCare",499.5,488.8,461.8,434.4,407.4,380.4
498.1,486.5,457.3,428.1,399,369.8,"EGK, EGK-Care",468.3,457.4,429.9,402.5,375.1,347.7
677.7,666,636.8,607.7,578.5,549.3,"Galenos, Med Direct",630.3,619.4,592.3,565.2,538,510.9
505.6,494,464.8,435.6,406.5,377.3,"Helsana, BeneFit PLUS Flexmed",470.3,459.5,432.3,405.2,378.1,350.9
505.6,494,464.8,435.6,406.5,377.3,"Helsana, BeneFit PLUS Hausarzt R1",470.3,459.5,432.3,405.2,378.1,350.9
517.7,506.1,476.9,447.7,418.6,389.4,"Helsana, BeneFit PLUS Hausarzt R2",481.5,470.7,443.6,416.4,389.3,362.2
529.7,518.1,488.9,459.7,430.6,401.4,"Helsana, BeneFit PLUS Hausarzt R3",492.7,481.9,454.7,427.6,400.5,373.4
541.8,530.2,501,471.8,442.7,413.5,"Helsana, BeneFit PLUS Hausarzt R4",503.9,493.1,466,438.8,411.8,384.6
511.1,499.5,470.3,441.1,,382.8,"KPT, KPTwin.doc",475.3,464.5,437.4,410.2,,356
552.1,540.6,511.6,482.1,453.1,424.1,"Mutuel, PrimaCare",513.5,502.8,475.8,448.4,421.4,394.5
551.3,539.7,510.5,481.3,452.2,423,"ÖKK, Hausarzt",512.8,502,474.8,447.7,420.6,393.4
530.1,518.6,489.6,460.1,431.1,402.1,"Philos, PrimaCare",493,482.3,455.4,427.9,401,374
561.7,550.1,520.9,491.7,462.6,433.4,"Sana24, Med Direct",525,514.1,486.8,459.6,432.3,405.1
594.5,582.9,553.7,524.5,495.4,466.2,"Sanitas, CareMed",553.5,542.7,515.5,488.4,461.3,434.1
556.2,544.6,515.4,486.2,457.1,427.9,"Sanitas, NetMed 1",517.9,507.1,479.9,452.7,425.6,398.4
584.9,573.3,544.1,514.9,485.8,456.6,"Sanitas, NetMed 2",544.6,533.8,506.6,479.4,452.3,425.1
594.5,582.9,553.7,524.5,495.4,466.2,"Sanitas, NetMed 3",553.5,542.7,515.5,488.4,461.3,434.1
523,511.5,482.5,453,424,395,"Supra, PrimaCare",486.4,475.7,448.8,421.3,394.4,367.4
582.2,570.5,548,518.8,489.7,460.5,"Swica, FAVORIT CASA",541.4,530.6,509.7,482.5,455.4,428.3
578.9,567.2,544.7,515.5,486.3,457.2,"Swica, FAVORIT MEDICA",538.3,527.5,506.6,479.4,452.3,425.2
515.7,504,481.5,452.3,416.5,387.3,"Swica, FAVORIT MEDPHARM",479.6,468.7,447.8,420.7,387.3,360.2
548.9,547.2,528,498.9,463.1,433.9,"Swica, FAVORIT MULTICHOICE",510.5,508.9,491.1,464,430.7,403.5
